5556,0,Game cai che do bi tru tien
5562,0,As it is with me all the time helping me to keep touch with everyone i need and as i always say the friend is the one that helps you without getting bored as well as its music
5580,0,"Bcz it\'s look,battery timing,usage is v convinient"
5617,0,I would give u 10 but the facebook app in this phon is not opening so pls
5617,1, Make it open and work
5624,0,"Facile utilizzo, display grande, piccole dimensioni del cell"
5628,0,Its good quality and has fun colors
5656,0,Date and time settings are disappointing
5663,0,Whatsapp not pre installed and not available in store
5674,0,"Karna ada yang sedikit d perbaiki jika semua sim terisi terkadang buat mengakses internet tidak lancar, tp saya sudah cukup senang memakai hp ini"
5683,0,Ya itung itung sedekah
5687,0,"3 mp without flash,no 3g,average speaker,radio"
5687,1,"all apps have bugs"""
5709,0,Facebook does not start
5734,0,We cannot use whatsapp on it
5751,0,Not a digital fon
5772,0,Its good but many drawbacks
5774,0,Nice classic gaming ! Wish there would some more games all can play
5785,0,It is completely made
5786,0,Easy and valuable use
5803,0,"Music player can't catch directly, lower video quality support"
5803,1, Display setting none
5803,2,"like small mistake which have nokia none this cell"""
5832,0,It can't download games
5834,0,It has so many useful apps like fb and messanger and its camera is also good
5834,1, It is awesome
5864,0,Becuase its features bound me
5864,1, Mean to say its operate me
5880,0,Great and user friendly
5887,0,Operamini download manager not working with any site
5888,0,Karna bisa jadi ponsel yang kita berikan tidak d pulangkan
5910,0,Wetterapp geht nicht mehr
5928,0,rat tot de su dung
5932,0,Because i can not install whatsapp
5960,0,"Its good cell phone easy to use and also available at cheap prices, have a good look but sms memory is too low"
5965,0,Because some time volume increase automaticaly
5978,0,Not complete score due to some issues of factory faults
5984,0,It does'nt use WhatsApp
5998,0,This is comfartable phone
6006,0,Vi dien thoai nay khi tai ve thi khong the mo tap tin do duoc
6012,0,Because i like it
6013,0,Vi khong len mang duoc
6014,0,The message memory is very much less then other cell phones
6021,0,It is a best product
6035,0,This phone is extremely reliable
6043,0,Karena banyak rahasia yang tidak bisa orang lain ketahui
6044,0,Because i love it
6069,0,R??t co? kha? n?ng
6088,0,Easy to use excellent camera
6095,0,Because i love this but one please unlimeted the all games
6098,0,I like very mach
6102,0,Because its every thing is so easy and so good
6104,0,I can't dowload other application unless music
6109,0,It don't have java and s60 support and camera don't have zoom
